id	delRNA*_in_Cyt	delRNA*_in_RG	delRNA*_difference
Fbxl14	-0.263169089	0.887222336	1.150391425
Ccng2	-1.442887071	-0.292717037	1.150170034
Brwd1	-0.271876031	0.877553414	1.149429445
Intu	-0.377497738	0.769400364	1.146898102
Zxdb	0.144038812	1.290888887	1.146850075
Zfp148	-0.401156065	0.745197954	1.146354019
Mki67	-0.878656851	0.267023196	1.145680047
Fzd5	0.279133395	1.424564433	1.145431038
Mphosph9	0.233651264	1.375001888	1.141350624
Mpdz	-1.201178599	-0.063868727	1.137309872
Hiatl1	-0.549593252	0.58731881	1.136912062
Gsk3b	-0.629323955	0.5073721	1.136696055
Nktr	0.348301697	1.484860243	1.136558546
4931403G20Rik	-0.63643025	0.499192555	1.135622805
Wnt5b	-0.227515768	0.907523494	1.135039262
Tnpo1	-0.87856794	0.255890131	1.134458071
Moap1	-0.03463218	1.099200061	1.133832241
Tnrc6a	-0.569742413	0.564002816	1.133745229
Cbx5	-0.833656723	0.297809484	1.131466207
Efr3a	-0.857437795	0.272770075	1.13020787
Zkscan8	-0.101126928	1.028166218	1.129293146
Zxda	0.176076893	1.304475751	1.128398858
Pigf	-0.41821194	0.708994218	1.127206158
Bptf	-0.727981016	0.398979466	1.126960482
Gm20319	-0.652183765	0.474725349	1.126909114
Kidins220	-1.261322122	-0.135027091	1.126295031
Zfp236	-0.272711373	0.852748319	1.125459692
D5Ertd579e	-0.455250494	0.668596926	1.12384742
Rasal2	-0.346289019	0.776792061	1.12308108
Gabpa	-0.789394963	0.333230735	1.122625698
Rnf139	-0.317728719	0.804836473	1.122565192
Smurf2	-0.278356706	0.843775016	1.122131722
Cab39	-0.591700364	0.52903019	1.120730554
Trak2	-0.647216743	0.473241537	1.12045828
Topors	-0.219869922	0.899644388	1.11951431
Phtf1	-0.303376388	0.813174444	1.116550832
Tnks	-0.746670249	0.368119374	1.114789623
Gltscr1l	-0.194652325	0.919950431	1.114602756
Piga	1.090340818	2.204491812	1.114150994
Ppapdc2	-0.037485435	1.074087447	1.111572882
Tet3	-0.481329664	0.630166938	1.111496602
BB287469	-0.48108678	0.626613874	1.107700654
Gm4027	-0.48108678	0.626613874	1.107700654
Tmem194	-0.4244951	0.681330545	1.105825645
Mex3d	-0.728107542	0.377542898	1.10565044
Dusp16	-0.141202264	0.962623117	1.103825381
Pdzk1	-0.358706618	0.744974578	1.103681196
Fndc3b	-0.767205232	0.334478656	1.101683888
Wdr37	0.084910957	1.184907504	1.099996547
Phtf2	-0.330587305	0.769262322	1.099849627
Cpd	-1.082611669	0.016562282	1.099173951
Mis12	0.269745343	1.368719376	1.098974033
Tbc1d4	-0.774139302	0.324011336	1.098150638
Tgm4	-0.351257652	0.746255124	1.097512776
Entpd1	-0.129359538	0.966967406	1.096326944
Fbxl4	-0.201652865	0.893863896	1.095516761
Dr1	-0.309210996	0.785646456	1.094857452
Adgra2	-0.746838617	0.348000646	1.094839263
Kpna1	-0.36423166	0.729883357	1.094115017
Mbtps2	-0.514588774	0.579332033	1.093920807
Fam102b	-0.64710793	0.446308674	1.093416604
Evi5	-0.525692032	0.567304727	1.092996759
Nf1	-0.866872293	0.224405787	1.09127808
Gm2016	-0.50095245	0.589726428	1.090678878
Tatdn1	-0.341156507	0.746470878	1.087627385
Crkl	-0.228897577	0.858385183	1.08728276
Ctdspl	-0.77652022	0.309052102	1.085572322
Cyld	-0.179094796	0.905976988	1.085071784
Elmsan1	0.033664549	1.118618804	1.084954255
Taf5l	-0.017765883	1.066716693	1.084482576
Efnb2	-0.197320086	0.886498744	1.08381883
Slc25a51	-0.355218073	0.728366698	1.083584771
Ncapg2	-0.548933166	0.53166933	1.080602496
Golga1	-0.351888715	0.727928869	1.079817584
Ccser2	-0.348440304	0.729969336	1.07840964
Ptp4a1	-0.136515969	0.941656365	1.078172334
Wapal	-0.351761036	0.725439637	1.077200673
Bdnf	0.66441083	1.741235904	1.076825074
Paxbp1	-0.227470394	0.848704345	1.076174739
Enc1	-0.163054598	0.913041425	1.076096023
Pard6b	0.403709035	1.479533466	1.075824431
Map3k7	-0.57553865	0.499476372	1.075015022
Senp5	-0.30367157	0.770931278	1.074602848
Ubtd2	-0.321805114	0.751299152	1.073104266
Ccnt2	0.482115052	1.554473821	1.072358769
Slmap	-0.660700658	0.410947411	1.071648069
Styx	-0.283891742	0.787177291	1.071069033
Zfp180	0.075947703	1.146795641	1.070847938
